score,perplexity,parse_ok,repetition,ascii_ratio,code_complexity,tokens,len,lang,path,chunk_id,n_chunks,repo,near_dup,near_dup_simhash,near_dup_minhash,minhash_jaccard,minhash_dup_of,gopher_quality,gopher_flags,hamdist
56.26,1.974,0.0,0.5057,1.0,0.418,1613,7212,Python,PyPDFForm/hooks.py,2,3,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
52.07,4.018,0.0,0.2451,1.0,0.4643,269,1150,Python,PyPDFForm/hooks.py,3,3,chinapandaman/PyPDFForm,False,False,False,0.2969,064c8a65520b5a152980f1345ad2fbf00b71a0037c904e7cd2b2b0ad337ecf14,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
79.08,2.009,1.0,0.1253,1.0,0.4283,845,3823,Python,PyPDFForm/image.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",3
76.06,2.043,1.0,0.2317,1.0,0.4801,678,3223,Python,PyPDFForm/middleware/base.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
76.25,2.759,1.0,0.1068,1.0,0.4919,371,1870,Python,PyPDFForm/middleware/checkbox.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
78.07,2.132,1.0,0.1781,1.0,0.4876,832,4052,Python,PyPDFForm/middleware/dropdown.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.3516,3824991050fcc101bf63da8eeceb3a5574dac490a9911613c48e300e01b41997,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
74.85,5.066,1.0,0.0299,1.0,0.4446,120,585,Python,PyPDFForm/middleware/image.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.3047,3824991050fcc101bf63da8eeceb3a5574dac490a9911613c48e300e01b41997,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",9
76.46,2.795,1.0,0.1139,1.0,0.4717,441,2211,Python,PyPDFForm/middleware/radio.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.5156,3824991050fcc101bf63da8eeceb3a5574dac490a9911613c48e300e01b41997,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
76.02,3.058,1.0,0.1275,1.0,0.5005,423,2149,Python,PyPDFForm/middleware/signature.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.4062,3824991050fcc101bf63da8eeceb3a5574dac490a9911613c48e300e01b41997,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
77.74,1.922,1.0,0.1994,1.0,0.46,842,3997,Python,PyPDFForm/middleware/text.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
60.01,2.342,0.0,0.3455,1.0,0.4389,1725,7596,Python,PyPDFForm/patterns.py,1,2,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",2
16.37,3.396,0.0,0.1836,1.0,0.4229,440,1977,Python,PyPDFForm/patterns.py,2,2,chinapandaman/PyPDFForm,True,True,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",1
61.45,2.414,0.0,0.2474,1.0,0.4308,1653,8067,Python,PyPDFForm/template.py,1,2,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",9
56.5,3.772,0.0,0.0879,1.0,0.4739,450,2097,Python,PyPDFForm/template.py,2,2,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
63.18,2.504,0.0,0.1816,1.0,0.4515,1716,7773,Python,PyPDFForm/utils.py,1,2,chinapandaman/PyPDFForm,False,False,False,0.125,f01b87c7334b17daf5daecb8ba24f4014cbe5b12a3232f21da28b65dda2e7d4c,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
58.08,2.593,0.0,0.0909,1.0,0.3895,651,3228,Python,PyPDFForm/utils.py,2,2,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
62.24,1.926,0.0,0.1813,1.0,0.4524,1508,6758,Python,PyPDFForm/watermark.py,1,2,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
57.15,3.063,0.0,0.1287,1.0,0.488,615,2751,Python,PyPDFForm/watermark.py,2,2,chinapandaman/PyPDFForm,False,False,False,0.25,f01b87c7334b17daf5daecb8ba24f4014cbe5b12a3232f21da28b65dda2e7d4c,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
76.81,3.767,1.0,0.0016,1.0,0.3963,263,1304,Python,PyPDFForm/widgets/__init__.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
83.17,2.354,1.0,0.1537,1.0,0.435,1619,7876,Python,PyPDFForm/widgets/base.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
57.16,,1.0,0.0752,1.0,0.3495,76442,137660,Python,PyPDFForm/widgets/bedrock.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.5,"{'min_words': True, 'mean_word_len': False, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",10
77.46,2.493,1.0,0.1226,1.0,0.4037,637,2870,Python,PyPDFForm/widgets/checkbox.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
78.1,2.398,1.0,0.1464,1.0,0.4283,793,3528,Python,PyPDFForm/widgets/dropdown.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
75.66,4.303,1.0,0.0664,1.0,0.3673,347,1628,Python,PyPDFForm/widgets/image.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
78.76,2.614,1.0,0.1041,1.0,0.4167,790,3581,Python,PyPDFForm/widgets/radio.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
80.5,2.689,1.0,0.1149,1.0,0.4458,1095,5247,Python,PyPDFForm/widgets/signature.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
78.81,2.34,1.0,0.1359,1.0,0.4149,874,3836,Python,PyPDFForm/widgets/text.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.5781,06108a8e387654fe2ce8ea96f95ad475fac87146216a1c5e64160a7957b830e0,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
55.89,6.212,0.0,0.0487,1.0,0.4397,433,2130,Python,PyPDFForm/wrapper.py,1,2,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
73.32,3.202,1.0,0.3198,1.0,0.4484,5353,25628,Python,PyPDFForm/wrapper.py,2,2,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
75.18,3.607,1.0,0.1643,0.9996,0.4182,766,2743,Markdown,README.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
72.86,5.839,1.0,0.0263,1.0,0.3628,195,927,Markdown,SECURITY.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",10
72.97,5.944,1.0,0.0489,1.0,0.4013,234,1038,Markdown,docs/coordinate.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
73.81,7.908,1.0,0.0456,1.0,0.3232,382,1725,Markdown,docs/dev_changes.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",9
70.18,6.644,1.0,0.0959,1.0,0.3911,113,485,Markdown,docs/dev_doc.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",12
75.0,5.319,1.0,0.0447,1.0,0.4042,366,1582,Markdown,docs/dev_intro.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",9
71.55,6.749,1.0,0.0824,1.0,0.3708,343,1363,Markdown,docs/dev_release.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
74.62,3.269,1.0,0.2095,1.0,0.4703,631,2722,Markdown,docs/dev_test.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
73.28,4.917,1.0,0.1124,1.0,0.4644,305,1208,Markdown,docs/draw.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
80.09,2.39,1.0,0.4034,1.0,0.444,1212,5137,Markdown,docs/fill.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
71.94,3.771,1.0,0.1838,1.0,0.4031,282,1137,Markdown,docs/font.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
71.89,5.234,1.0,0.0137,1.0,0.5209,300,1110,Markdown,docs/index.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': False, 'ellipsis_ratio': True}",8
75.79,2.742,1.0,0.2238,1.0,0.4866,586,2308,Markdown,docs/inspect.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
83.6,4.574,1.0,0.1343,1.0,0.4319,1161,5110,Markdown,docs/install.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
70.77,11.533,1.0,0.0062,1.0,0.2406,196,822,Markdown,docs/news/2024-01-01.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",10
71.06,12.299,1.0,0.0,1.0,0.3315,203,867,Markdown,docs/news/2025-03-29.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
89.14,6.695,1.0,0.069,1.0,0.2857,1716,8277,Markdown,docs/news/2025-05-24.md,1,2,chinapandaman/PyPDFForm,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': False, 'ellipsis_ratio': True}",8
71.99,9.998,1.0,0.0,1.0,0.3233,223,1015,Markdown,docs/news/2025-05-24.md,2,2,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
85.87,2.321,1.0,0.3763,1.0,0.4853,1732,6562,Markdown,docs/prepare.md,1,2,chinapandaman/PyPDFForm,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
74.26,3.726,1.0,0.2231,1.0,0.4835,507,1988,Markdown,docs/prepare.md,2,2,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
83.73,1.845,1.0,0.5006,1.0,0.5025,1706,6668,Markdown,docs/style.md,1,2,chinapandaman/PyPDFForm,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
71.85,2.941,1.0,0.2765,1.0,0.4814,499,1987,Markdown,docs/style.md,2,2,chinapandaman/PyPDFForm,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
71.07,3.173,1.0,0.2254,1.0,0.4783,366,1449,Markdown,docs/utils.md,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
82.36,1.43,1.0,0.0921,1.0,0.3405,875,4469,Text,font_samples/SIL Open Font License.txt,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
59.58,3.363,0.0,0.0846,1.0,0.5403,795,2665,Toml,pyproject.toml,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",9
72.88,2.099,1.0,0.11,1.0,0.5408,285,989,Python,scripts/bump_version.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
75.29,2.623,1.0,0.0556,1.0,0.5213,292,1328,Python,scripts/close_staled_issues.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
72.82,3.957,1.0,0.0,1.0,0.5237,102,391,Python,scripts/create_pdf_diff.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
74.33,2.588,1.0,0.0258,1.0,0.5151,309,1219,Python,scripts/create_release.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
75.01,3.354,1.0,0.0759,1.0,0.5197,379,1545,Python,scripts/diff_widget.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
70.77,3.873,1.0,0.1572,1.0,0.4886,289,1129,Python,scripts/open_pdf_diff.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
71.89,2.088,1.0,0.5454,1.0,0.4815,1551,6619,Python,tests/conftest.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
71.23,5.672,1.0,0.0542,1.0,0.502,166,699,Python,tests/doc_examples/test_coordinate.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
68.57,2.504,1.0,0.3275,1.0,0.4978,354,1451,Python,tests/doc_examples/test_draw.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.4219,8ae2c9f42fdc06ce690ef20513a0aa73566fd81965b76659e1a881fd14320f7f,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",2
68.06,1.493,1.0,0.7181,1.0,0.4379,1454,6344,Python,tests/doc_examples/test_fill.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.3203,8ae2c9f42fdc06ce690ef20513a0aa73566fd81965b76659e1a881fd14320f7f,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",3
69.2,6.628,1.0,0.0212,1.0,0.4935,74,299,Python,tests/doc_examples/test_font.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.5,"{'min_words': False, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
68.37,2.04,1.0,0.3397,1.0,0.5247,302,1120,Python,tests/doc_examples/test_inspect.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
67.82,3.409,1.0,0.3117,1.0,0.4689,281,1142,Python,tests/doc_examples/test_install.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
53.09,1.589,0.0,0.6306,1.0,0.5091,1685,7101,Python,tests/doc_examples/test_prepare.py,1,2,chinapandaman/PyPDFForm,False,False,False,0.2969,29d3c07724a4d284451cce25dcf952f39fe729c60adb181c38b8c79cc7ef27ce,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
47.39,2.725,0.0,0.4526,1.0,0.4973,587,2526,Python,tests/doc_examples/test_prepare.py,2,2,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",2
49.21,1.411,0.0,0.7442,1.0,0.4929,1683,6989,Python,tests/doc_examples/test_style.py,1,2,chinapandaman/PyPDFForm,False,False,False,0.3281,e1b679c3fce5eb0742c32bd949582eaf4ba32d6e2281cb033be8af4cd7dd67b5,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
48.0,1.679,0.0,0.6465,1.0,0.4846,1210,5204,Python,tests/doc_examples/test_style.py,2,2,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",3
67.07,2.239,1.0,0.4544,1.0,0.4933,497,2098,Python,tests/doc_examples/test_utils.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.4141,8ae2c9f42fdc06ce690ef20513a0aa73566fd81965b76659e1a881fd14320f7f,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
67.73,2.817,1.0,0.284,1.0,0.5123,102,442,Python,tests/multi_language/conftest.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
66.84,3.08,1.0,0.3794,0.9803,0.5493,285,1115,Python,tests/multi_language/test_multi_language.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.3672,e8d00b61e05c9c2871beb80f847c546fd04ef7bc8a53288d5917261a7f111e04,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
